,PDB,uniprot(gene),Family,angle
9,6GDG,AA2AR,Gs,130.77112227552868
16,7JJO,ADRB1,Gs,94.55678942786531
21,7DHR,ADRB2,Gs,107.09258974734594
20,7DHI,ADRB2,Gs,98.02867944292363
19,7BZ2,ADRB2,Gs,119.51314122190901
22,6NI3,ADRB2,Gs,141.4230039105414
0,7JVQ,DRD1,Gs,102.43015519547833
18,7LJC,DRD1,Gs,171.1840289145909
17,7LJD,DRD1,Gs,102.60391013925577
15,7CRH,DRD1,Gs,107.3300253419279
14,7CKZ,DRD1,Gs,161.04440136785638
13,7CKW,DRD1,Gs,161.74416013853653
11,7CKX,DRD1,Gs,128.450135740155
2,7JV5,DRD1,Gs,107.30342139716417
1,7JVP,DRD1,Gs,171.3929809477285
12,7CKY,DRD1,Gs,165.03872693406868
10,7BW0,GPBAR,Gs,138.27518985818716
5,7CFM,GPBAR,Gs,153.69311718147875
4,7CFN,GPBAR,Gs,134.50674285702402
3,6LI3,GPR52,Gs,145.69842914582736
6,7AUE,MC4R,Gs,116.05776866037787
8,7L1U,OX2R,Gs,180.0
7,7L1V,OX2R,Gs,180.0
23,7D7M,PE2R4,Gs,106.13831614289869
