,PDB,uniprot(gene),Family,angle
14,7E2Y,5HT1A,Gi/o,114.37421198534665
12,7E2X,5HT1A,Gi/o,115.0948860594033
10,7E2Z,5HT1A,Gi/o,113.802427590016
0,6G79,5HT1B,Gi/o,153.30879703146897
13,7E32,5HT1D,Gi/o,108.30542062725029
11,7E33,5HT1E,Gi/o,98.66959109291247
19,6D9H,AA1R,Gi/o,121.34730033297328
9,6OIK,ACM2,Gi/o,111.62597050547494
4,6K41,ADA2B,Gi/o,180.0
3,6K42,ADA2B,Gi/o,180.0
8,6WWZ,CCR6,Gi/o,139.22869398413232
21,6KPG,CNR1,Gi/o,132.96045629615304
18,6N4B,CNR1,Gi/o,129.65564972575874
15,6PT0,CNR2,Gi/o,175.68905692150048
20,6KPF,CNR2,Gi/o,135.74098804902619
2,6LFM,CXCR2,Gi/o,151.63039889699704
1,6LFO,CXCR2,Gi/o,153.88642150001476
25,6VMS,DRD2,Gi/o,180.0
7,7JVR,DRD2,Gi/o,142.53719951011132
16,7CMU,DRD3,Gi/o,142.7788319677101
17,7CMV,DRD3,Gi/o,146.86296389815325
22,6OMM,FPR2,Gi/o,101.88420303693559
32,7L0S,NTR1,Gi/o,160.78010849990207
6,6OS9,NTR1,Gi/o,94.24228385042929
5,6OSA,NTR1,Gi/o,106.4800460881611
30,7L0P,NTR1,Gi/o,115.33067149046083
31,7L0R,NTR1,Gi/o,161.02302621057908
33,7L0Q,NTR1,Gi/o,115.33067149046083
26,6DDF,OPRM,Gi/o,91.9563606525415
27,6DDE,OPRM,Gi/o,98.11786677297953
23,6OY9,OPSD,Gi/o,136.46682117762867
24,6OYA,OPSD,Gi/o,148.4169580632336
28,6CMO,OPSD,Gi/o,150.0266388918715
29,6QNO,OPSD,Gi/o,156.39204477645808
