,PDB,uniprot(gene),Family,angle
0,7E2X,5HT1A,Gi/o,63.81104579829109
1,7E2Z,5HT1A,Gi/o,64.90110166327047
2,7E2Y,5HT1A,Gi/o,63.542835136988714
3,7E32,5HT1D,Gi/o,67.89883644029482
4,6D9H,AA1R,Gi/o,60.2002775881714
5,6K42,ADA2B,Gi/o,54.88672838940883
6,6WWZ,CCR6,Gi/o,63.38060043861435
7,6N4B,CNR1,Gi/o,56.91225065336559
8,6KPG,CNR1,Gi/o,56.401379007949174
9,6KPF,CNR2,Gi/o,55.55335856485087
10,6PT0,CNR2,Gi/o,57.89287029918776
11,6LFO,CXCR2,Gi/o,56.34402548304381
12,6LFM,CXCR2,Gi/o,56.328930350301974
13,7JVR,DRD2,Gi/o,61.03466306087723
14,6OMM,FPR2,Gi/o,53.70088222800095
15,6OSA,NTR1,Gi/o,59.81756364666005
16,6OS9,NTR1,Gi/o,57.09844361135053
17,7L0S,NTR1,Gi/o,58.20145519635204
18,7L0Q,NTR1,Gi/o,59.37650978901624
19,7L0R,NTR1,Gi/o,58.201089741753876
20,6DDE,OPRM,Gi/o,50.231600920990694
21,6DDF,OPRM,Gi/o,50.27369012656567
22,6OY9,OPSD,Gi/o,60.354242153098255
23,6OYA,OPSD,Gi/o,61.586675813632894
24,6CMO,OPSD,Gi/o,60.96021552990139
25,6QNO,OPSD,Gi/o,48.27862827925827
